"Number","SpeciesName","VenacularName","TaxonName","TaxonAuthor","TaxonType"
"1917","Dianthus carthusianorum L.","Karthaeuser-Nelke","Dianthus carthusianorum","L.","plant"
"1926","Dianthus deltoides L.","Heide-Nelke","Dianthus deltoides","L.","plant"
"1934","Dianthus gratianopolitanus Vill.","Pfingst-Nelke","Dianthus gratianopolitanus","Vill.","plant"
"1946","Dianthus seguieri subsp. glaber Celak.","Busch-Nelke","Dianthus seguieri subsp. glaber","Celak.","plant"
"1945","Dianthus seguieri Vill.","Busch-Nelke","Dianthus seguieri","Vill.","plant"
"1949","Dianthus superbus L.","Pracht-Nelke","Dianthus superbus","L.","plant"
"1950","Dianthus superbus subsp. alpestris Celak.","Alpen-Prachtnelke","Dianthus superbus subsp. alpestris","Celak.","plant"
"1952","Dianthus superbus subsp. superbus L.","Gewoehnliche Pracht-Nelke","Dianthus superbus subsp. superbus","L.","plant"
"1953","Dianthus sylvestris Wulfen","Stein-Nelke","Dianthus sylvestris","Wulfen","plant"
"50362","Dichelyma capillaceum (Dicks.) Myrin em. Bruch & Schimp.","","","","moss"
"50363","Dichodontium flavescens (Dicks.) Lindb.","","","","moss"
"50364","Dichodontium pellucidum (Hedw.) Schimp.","Doppelzahnmoos","","","moss"
"50365","Dicranella cerviculata (Hedw.) Schimp.","","","","moss"
"50366","Dicranella crispa (Hedw.) Schimp.","","","","moss"
