plantNameLatin;plantNameAuthor;plantType;plantTaxonName;plantNameGerman
Anthriscus cerefolium var. cerefolium;(L.) Hoffm.;plant;Anthriscus cerefolium var. cerefolium (L.) Hoffm.;Gewöhnlicher Garten-Kerbel
Anthriscus cerefolium var. trichocarpa;Neilr.;plant;Anthriscus cerefolium var. trichocarpa Neilr.;Wilder Garten-Krebel
Anthriscus nitida;(Wahlenb.) Hazsl.;plant;Anthriscus nitida (Wahlenb.) Hazsl.;Glanz-Kerbel
Anthriscus sylvestris;(L.) Hoffm.;plant;Anthriscus sylvestris (L.) Hoffm.;Wiesen-Kerbel
Anthriscus sylvestris;(L.) Hoffm.;plant;Anthriscus sylvestris (L.) Hoffm.;Wiesenkerbel
Anthriscus sylvestris subsp. alpina;(Vill.) Gremli;plant;Anthriscus sylvestris subsp. alpina (Vill.) Gremli;Hochlagen-Wiesenkerbel
Anthriscus sylvestris subsp. stenophylla;(Rouy & Camus) Briq.;plant;Anthriscus sylvestris subsp. stenophylla (Rouy & Camus) Briq.;Schmalblättriger Wiesen-Kerbel
Anthriscus sylvestris subsp. sylvestris;(L.) Hoffm.;plant;Anthriscus sylvestris subsp. sylvestris (L.) Hoffm.;Gewöhnlicher Wiesen-Kerbel
Anthriscus;;plant;Anthriscus sp.;Kerbel
Anthyllis vulneraria;L. s. l.;plant;Anthyllis vulneraria L. s. l.;Wundklee
Anthyllis vulneraria subsp. alpestris;(Kit. ex Schult.) Asch. & Graebn.;plant;Anthyllis vulneraria subsp. alpestris (Kit. ex Schult.) Asch. & Graebn.;Alpen-Wundklee
Anthyllis vulneraria subsp. carpatica;(Pant.) Nyman s. str.;plant;Anthyllis vulneraria subsp. carpatica (Pant.) Nyman s. str.;Karpaten-Wundklee
Anthyllis vulneraria subsp. maritima;(Schweigg.) Corb.;plant;Anthyllis vulneraria subsp. maritima (Schweigg.) Corb.;Strand-Wundklee
Anthyllis vulneraria subsp. polyphylla;(DC.) Nyman;plant;Anthyllis vulneraria subsp. polyphylla (DC.) Nyman;Steppen-Wundklee
Anthyllis vulneraria subsp. vulneraria;L.;plant;Anthyllis vulneraria subsp. vulneraria L.;Gewöhnlicher Wundklee
Antirrhinum majus;L.;plant;Antirrhinum majus L.;Löwenmäulchen
Apera interrupta;(L.) P. Beauv.;plant;Apera interrupta (L.) P. Beauv.;Unterbrochener Windhalm
Apera spica-venti;(L.) P. Beauv.;plant;Apera spica-venti (L.) P. Beauv.;Acker-Windhalm
Apera spica-venti;(L.) P. Beauv.;plant;Apera spica-venti (L.) P. Beauv.;Ackerwindhalm
Apera;;plant;Apera sp.;Windhalm
Aphanes arvensis;L.;plant;Aphanes arvensis L.;Gewöhnlicher Ackerfrauenmantel
Aphanes inexspectata;W. Lippert;plant;Aphanes inexspectata W. Lippert;Kleinfrüchtiger Ackerfrauenmantel
Aphanes;;plant;Aphanes sp.;Ackerfrauenmantel
Apium graveolens;L.;plant;Apium graveolens L.;Echter Sellerie
Apium inundatum;(L.) Rchb.f.;plant;Apium inundatum (L.) Rchb.f.;Flutender Sellerie
Apium nodiflorum;(L.) Lag.;plant;Apium nodiflorum (L.) Lag.;Knotenblütiger Sellerie
